protein,breast_MDAMB231,colon_HCT116,ewingsarcoma_CHLA10,ewingsarcoma_TC32,melanoma_A375,melanoma_HS895T,melanoma_SH4,ovary_patientsample,prostate_PC3
P52630,0,0,1,1,0,0,0,1,0
P52701,0,0,0,1,1,0,0,1,0
P53582,1,0,0,1,0,0,0,1,0
P55265,0,1,0,1,0,0,0,1,0
P55769,1,0,0,1,0,0,0,1,0
P55854,1,0,0,1,0,1,0,0,0
P57740,0,0,1,0,0,0,1,1,0
P61956,0,1,0,0,0,0,1,1,0
P62312,0,1,0,1,0,0,0,1,0
P62910,1,0,0,1,0,0,0,1,0
P63173,1,0,0,1,0,0,0,1,0
P78332,0,1,1,0,0,0,0,1,0
P78347,0,0,1,1,0,0,0,1,0
Q00577,1,1,0,0,0,0,0,1,0
Q01433,0,1,0,1,0,0,0,1,0
Q01658,0,1,0,1,0,0,0,1,0
Q02224,0,0,1,1,0,0,0,1,0
Q02241,0,1,0,1,0,0,0,1,0
Q02880,0,0,1,1,0,0,0,1,0
Q04206,1,0,0,1,0,0,0,1,0
Q05086,0,1,1,0,0,0,0,1,0
Q06203,1,1,0,0,0,0,0,1,0
Q09028,0,1,0,1,1,0,0,0,0
Q10570,0,1,0,1,0,0,0,1,0
Q12789,0,0,1,1,0,0,0,1,0
Q12792,0,1,0,1,0,0,0,1,0
Q12996,0,1,0,1,0,0,0,1,0
Q13098,0,1,0,1,0,0,0,1,0
Q13151,0,0,1,1,0,0,0,1,0
Q13155,0,1,0,0,1,0,0,1,0
Q13422,0,0,0,0,0,1,1,1,0
Q13595,0,1,0,1,0,0,0,1,0
Q13907,0,0,0,1,0,0,1,1,0
Q13972,0,0,1,0,1,0,0,1,0
Q14008,0,0,1,1,0,0,0,1,0
Q14137,0,1,0,1,0,0,0,1,0
Q14191,0,0,1,1,0,0,0,1,0
Q14320,0,0,1,1,0,0,0,1,0
Q14678,0,0,1,1,0,0,0,1,0
Q14683,0,1,0,1,0,0,0,1,0
Q14839,0,1,1,0,0,0,0,1,0
Q14919,0,1,0,1,0,0,0,1,0
Q14966,1,0,0,1,0,0,0,1,0
Q14CX7,0,1,0,1,0,0,0,1,0
Q15020,0,1,0,1,0,0,0,1,0
